user_id,track_id
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRWILVQ128F42644B3
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRXNQJR12903CFE371
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRRHSQS128F42900FF
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRMKOWT128E0791F09
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRITQQY128F42900FB
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRRJHNB128EF351BF1
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRRNOPY128F931E7B1
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRFAQJU128F9351452
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRKXLJV128E0791E67
58b5da4c54daf8eda78a4e83c915dfccc5bb9a19,TRQITJI128E0791F02
ebcf1675e496c3471e5687907f8d75154460c7c2,TRRHXZX128F93191C4
ebcf1675e496c3471e5687907f8d75154460c7c2,TRIZDTN128F429EB1D
ebcf1675e496c3471e5687907f8d75154460c7c2,TRDRFVY128F4281937
ebcf1675e496c3471e5687907f8d75154460c7c2,TRLCRRV128F4298854
ebcf1675e496c3471e5687907f8d75154460c7c2,TRAXPDB128F14A8954
ebcf1675e496c3471e5687907f8d75154460c7c2,TRZPDFG128F92FDEF5
ebcf1675e496c3471e5687907f8d75154460c7c2,TRPFLRB128F14A895D
ebcf1675e496c3471e5687907f8d75154460c7c2,TRAEGXU128F9304D31
ebcf1675e496c3471e5687907f8d75154460c7c2,TRZFXSA128F93073BE
ebcf1675e496c3471e5687907f8d75154460c7c2,TRFLRXQ128F4280CCC
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRFPLZK128F930DBE0
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRUDYLO12903CBDAE3
adff5b2d16f996a3d8c35a916e221214cd1727eb,TREQSKD128F932E74A
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRDAOOB128F932E752
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRTMZAT128F932E754
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRUJMAW128F4261E2D
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRIMJVM128F42801F3
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRWVOJJ12903CCC654
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRBNLRU128F9307FFF
adff5b2d16f996a3d8c35a916e221214cd1727eb,TRGOYVY128F425CB96
bdadf6bb27e513eafe45115680b256d89adec57b,TRLNWJO128F148916D
bdadf6bb27e513eafe45115680b256d89adec57b,TRJKOWS128F14A49C0
bdadf6bb27e513eafe45115680b256d89adec57b,TRPVNPN128F1488F1C
bdadf6bb27e513eafe45115680b256d89adec57b,TRDEQES128F149B946
bdadf6bb27e513eafe45115680b256d89adec57b,TRDYCGA128F148915F
bdadf6bb27e513eafe45115680b256d89adec57b,TRTJQLR128E0788AED
bdadf6bb27e513eafe45115680b256d89adec57b,TREYLRJ128F149B948
bdadf6bb27e513eafe45115680b256d89adec57b,TRZHHIV128F1489172
bdadf6bb27e513eafe45115680b256d89adec57b,TRAUWXY128F146C6B3
bdadf6bb27e513eafe45115680b256d89adec57b,TRKLXON128F931D51A
f42f5c6ef43197a6d02e4dd96a4bcb3e35e35ccb,TRFNVPY128F92D2626
f42f5c6ef43197a6d02e4dd96a4bcb3e35e35ccb,TRQTYCH128F425DE14
f42f5c6ef43197a6d02e4dd96a4bcb3e35e35ccb,TRAKQIH128EF343180
f42f5c6ef43197a6d02e4dd96a4bcb3e35e35ccb,TRQTOFR128EF343187
f42f5c6ef43197a6d02e4dd96a4bcb3e35e35ccb,TRIHPDV128F932B5DC
